Time (s),Volume (m^3),NH3_X(8),O_X(9),NH2_X(10),OH_X(11),NH_X(12),N_X(13),NO_X(14),NHO_X(15),N2O_X(16),N2_X(17),H2O_X(18),He,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),HX(20)
4.976457655420912e-25,0.08314471999999999,2.0856126241480335e-19,5.567277017099952e-20,4.22715515597597e-21,1.229831133415101e-50,1.2601155427909113e-38,1.276827185234775e-56,3.2509594914219194e-90,4.861503013264129e-72,7.326780105778241e-166,7.75599834188108e-186,1.2440039163347387e-80,0.054,0.0,0.0,0.05898523875172376,0.88,3.601842211068691e-80,4.1575476368069824e-103,4.0031610831995166e-106,0.066,9.95639625442444e-164,4.22715515597597e-21
9.957238905677115e-25,0.08314471999999999,4.173037248838085e-19,1.1139390938645692e-19,8.4579829054845e-21,9.848623436698514e-50,5.043746127048129e-38,1.0222381137792967e-55,1.0415581840332536e-88,7.787456982003777e-71,3.761150729418683e-163,7.96299410183753e-183,3.9867714137378855e-79,0.054,0.0,0.0,0.05898523875172376,0.88,1.1543148206443043e-78,6.655172512102764e-102,2.565154036015544e-104,0.066,5.1110455924326376e-161,8.4579829054845e-21
1.991880140618952e-24,0.08314471999999999,8.347886498217439e-19,2.228361878173717e-19,1.6919638404501566e-20,7.882890446966631e-49,2.0181554291798226e-37,8.181011700562624e-55,3.334989429995298e-87,1.2467177646909747e-69,1.9282322320058997e-160,8.164799892160777e-180,1.2767210888608092e-77,0.054,0.0,0.0,0.05898523875172376,0.88,3.6965702879926596e-77,1.0650753053916727e-100,1.6427012120014196e-102,0.066,2.620283957989186e-158,1.6919638404501566e-20
3.984192640721433e-24,0.08314471999999999,1.6697584996973158e-18,4.457207446792013e-19,3.38429494025357e-20,6.307909426602643e-48,8.073935860643255e-37,6.546052342186335e-54,1.0675172487199729e-85,1.995328331515224e-68,9.879013340843491e-158,8.366234870236483e-177,4.087034915302223e-76,0.054,0.0,0.0,0.05898523875172376,0.88,1.1833447390194692e-75,1.704318651395756e-99,1.0516497333605117e-100,0.066,1.3424638439356125e-155,3.38429494025357e-20
7.968817640926396e-24,0.08314471999999999,3.339698199447265e-18,8.914898584028603e-19,6.768957139860404e-20,5.04696644689008e-47,3.2298371917776956e-36,5.2373391195875895e-53,3.4165682957691275e-84,3.1929893328407056e-67,5.059710278522885e-155,8.56983114730144e-174,1.308095614066088e-74,0.054,0.0,0.0,0.05898523875172376,0.88,3.787410911032e-74,2.7270683724651723e-98,6.731585544415556e-99,0.066,6.875664670541285e-153,6.768957139860404e-20
1.593806764133632e-23,0.08314471999999999,6.679577598942381e-18,1.783028085850178e-18,1.3538281539074088e-19,4.037828735350396e-46,1.2919874481009708e-35,4.1900702046714516e-52,1.0933839578404577e-82,5.109154164929398e-66,2.590995437129633e-152,8.776944027359437e-171,4.1862971126541804e-73,0.054,0.0,0.0,0.058985238751723755,0.88,1.2120847430126952e-72,4.3634362201833785e-97,4.3085434985703466e-97,0.066,3.5209163786128326e-150,1.353828153907409e-19
3.187656764215617e-23,0.08314471999999999,1.3359336397913488e-17,3.566104540744814e-18,2.7076930337501537e-19,3.2303652225278717e-45,5.16805493716752e-35,3.35213572953041e-51,3.4989600360342643e-81,8.174943662119822e-65,1.3266980503057225e-149,8.98832571803287e-168,1.3396776630097862e-71,0.054,0.0,0.0,0.05898523875172375,0.88,3.878852389681784e-71,6.981599411856022e-96,2.7575730439556323e-95,0.066,1.802856675609558e-147,2.7076930337501547e-19
6.375356764379587e-23,0.08314471999999999,2.6718853995779195e-17,7.132257450534083e-18,5.415422793435673e-19,2.584333072332848e-44,2.0672430040965484e-34,2.6817404104753696e-50,1.1196882313877935e-79,1.3080147463370153e-63,6.792970363907026e-147,9.204420351719804e-165,4.28706866341077e-70,0.054,0.0,0.0,0.05898523875172373,0.88,1.241261759393517e-69,1.117064022716797e-94,1.7648804145229877e-93,0.06599999999999999,9.231003784529406e-145,5.415422793435679e-19
1.2750756764707527e-22,0.08314471999999999,5.343788919120459e-17,1.4264563270112613e-17,1.0830882312806832e-18,2.0674828156953345e-43,8.269014075749509e-34,2.1454050593797857e-49,3.583035972865619e-78,2.0928426028210157e-62,3.47807040797628e-144,9.425515196010269e-162,1.3718779951700257e-68,0.054,0.0,0.0,0.05898523875172369,0.88,3.972084022156108e-68,1.787308929978179e-93,1.1295342387511052e-91,0.06599999999999996,4.726370619423623e-142,1.0830882312806847e-18
2.5501556765363406e-22,0.08314471999999999,1.068759595808313e-16,2.852917490926963e-17,2.166180135154963e-18,1.6539927956809046e-42,3.3076140427648285e-33,1.7163291401991612e-48,1.1465768927167488e-76,3.3485633720775076e-61,1.780788669209876e-141,9.651817743136525e-159,4.3900352211925513e-67,0.054,0.0,0.0,0.05898523875172362,0.88,1.2710743098525408e-66,2.859699483431534e-92,7.229053604402532e-90,0.0659999999999999,2.41992652052999e-139,2.16618013515497e-18
5.1003156766675165e-22,0.08314471999999999,2.1375210035518838e-16,5.705839818758355e-17,4.332363942903717e-18,1.3231968537484608e-41,1.323047300059724e-32,1.3730653496865238e-47,3.6690546681234476e-75,5.357713563136242e-60,9.117668320305028e-139,9.88349430884872e-156,1.4048153725768888e-65,0.054,0.0,0.0,0.058985238751723484,0.88,4.067449667844153e-65,4.575523331660101e-91,4.6266053407541324e-88,0.0659999999999998,1.239008730816251e-136,4.332363942903744e-18
1.020063567692987e-21,0.08314471999999999,4.2750438188431713e-16,1.1411684474421088e-16,8.664731558401997e-18,1.0585585297994854e-40,5.292192569819678e-32,1.098453095473836e-46,1.1740988723768177e-73,8.572351440816187e-59,4.6682414380715284e-136,1.0120687934794763e-152,4.495415754603518e-64,0.054,0.0,0.0,0.05898523875172321,0.88,1.3015857938318568e-63,7.320840662940644e-90,2.9610309508144686e-86,0.06599999999999957,6.343741095183279e-134,8.664731558402102e-18
