Time (s),Volume (m^3),NH3_X(8),O_X(9),NH2_X(10),OH_X(11),NH_X(12),N_X(13),NO_X(14),NHO_X(15),H2O_X(16),He,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7)
1.1433734389208036e-24,0.041572359999999996,1.6941678641614942e-19,9.722253483850744e-20,4.929134406933738e-62,4.929134406933738e-62,1.9205149466863288e-90,5.654375031923214e-125,6.240591537330121e-165,1.728268983217138e-126,3.449086044201847e-97,0.054,0.0,0.01474630968793094,0.88,1.2450608623376949e-112,2.8500569212633788e-177,6.172712903310746e-191,0.066,2.1615767771430748e-244
2.2877402518111305e-24,0.041572359999999996,3.3898076378487583e-19,1.9452953756132287e-19,3.947305229455775e-61,3.947305229455775e-61,6.15484725959546e-89,7.251693646045223e-123,3.2028103835832214e-162,2.2164920319967814e-124,8.551848990080654e-96,0.054,0.0,0.01474630968793094,0.88,6.1584357973849134e-111,7.310072581811529e-175,6.335961863041217e-188,0.066,2.2186480976794586e-241
4.576473877591784e-24,0.041572359999999996,6.781087185223286e-19,3.8914354300695374e-19,3.1594440466266293e-60,3.1594440466266293e-60,1.971024290778699e-87,9.2911984791381e-121,1.6417945073509044e-159,2.839870022322305e-122,2.338584835271741e-94,0.054,0.0,0.01474630968793094,0.88,3.361655848001547e-109,1.8731632503833004e-172,6.495769811992643e-185,0.066,2.2745585997807743e-238
9.153941129153091e-24,0.041572359999999996,1.3563646279972336e-18,7.783715538982155e-19,2.528195338832429e-59,2.528195338832429e-59,6.3096358063300084e-86,1.1898517073000635e-118,8.4109979657217e-157,3.6368012179250634e-120,6.846364026500677e-93,0.054,0.0,0.014746309687930939,0.88,1.9658527034715896e-107,4.797583598469853e-170,6.655636654099223e-182,0.066,2.3305124313999103e-235
1.8308875632275703e-23,0.041572359999999996,2.7128764469470425e-18,1.5568275756807385e-18,2.02281234294032e-58,2.02281234294032e-58,2.019460830776284e-84,1.5233804083351337e-116,4.3077140243257076e-154,4.656237151357565e-118,2.0888755770863846e-91,0.054,0.0,0.014746309687930937,0.88,1.1987371961832609e-105,1.2284740511916131e-167,6.817404504669989e-179,0.066,2.3871435705501754e-232
3.661874463852093e-23,0.041572359999999996,5.4259000848466524e-18,3.1137396192457843e-18,1.6183523093544563e-57,1.6183523093544563e-57,6.462878519384916e-83,1.9501639005028203e-114,2.205878107065807e-151,5.960707879806853e-116,6.5212454124727634e-90,0.054,0.0,0.014746309687930934,0.88,7.481787896291629e-104,3.1452682163269775e-165,6.982063085086322e-176,0.066,2.44479288804664e-229
7.323848265101138e-23,0.041572359999999996,1.0851947360645845e-17,6.227563706375871e-18,1.294722822734938e-56,1.294722822734938e-56,2.0682177491075312e-81,2.496361469696484e-112,1.1294937013978788e-148,7.63016968811717e-114,2.0606919844410456e-88,0.054,0.0,0.014746309687930925,0.88,4.727498946599989e-102,8.052366213864133e-163,7.150165575069292e-173,0.066,2.5036511644455994e-226
1.4647795867599227e-22,0.041572359999999996,2.1704041912244117e-17,1.245521188063603e-17,1.0357946485385937e-55,1.0357946485385937e-55,6.618451397919323e-80,3.1954397581220196e-110,5.783223082785413e-146,9.766913914294406e-112,6.552442659668789e-87,0.054,0.0,0.014746309687930908,0.88,3.0061282426063823e-100,2.0614671391811203e-160,7.322042443407552e-170,0.06599999999999999,2.56383261918144e-223
2.929569107259541e-22,0.041572359999999996,4.3408231015440207e-17,2.4910508229156293e-17,8.286422750211425e-55,8.286422750211425e-55,2.117929183788458e-78,4.090225020769826e-108,2.961065342942574e-143,1.2501839703427416e-109,2.0900980834501356e-85,0.054,0.0,0.014746309687930873,0.88,1.9176912350433102e-98,5.277434454893785e-158,7.497911183201724e-167,0.06599999999999996,2.625412642453816e-220
5.859148148258777e-22,0.041572359999999996,8.68166092218306e-17,4.982110092619659e-17,6.629164425030092e-54,6.629164425030092e-54,6.77741296671394e-77,5.235527790392666e-106,1.5160795659611262e-140,1.600247633511908e-107,6.67762008108395e-84,0.054,0.0,0.014746309687930805,0.88,1.2253285065804548e-96,1.351033278601735e-155,7.677932581178138e-164,0.06599999999999992,2.6884471428441592e-217
1.1718306230257248e-21,0.041572359999999996,1.7363336563460422e-16,9.964228632027626e-17,5.303342029988214e-53,5.303342029988214e-53,2.168778481944023e-75,6.701501020656747e-104,7.7623634833086e-138,2.048324743266798e-105,2.1351274139753245e-82,0.054,0.0,0.014746309687930668,0.88,7.835721989841676e-95,3.458658067708101e-153,7.86223956909034e-161,0.06599999999999984,2.752982467993456e-214
2.3436622394254195e-21,0.041572359999999996,3.4726687846012275e-16,1.992846571084319e-16,4.2426778199798285e-52,4.2426778199798285e-52,6.940101274389942e-74,8.577937593807982e-102,3.974339328915346e-135,2.621860633916091e-103,6.829670100589207e-81,0.054,0.0,0.014746309687930394,0.88,5.0128203249354484e-93,8.854181132712511e-151,8.050952025428438e-158,0.06599999999999966,2.819060495228489e-211
4.687325472224808e-21,0.041572359999999996,6.945339041110448e-16,3.9856939868472836e-16,3.394143934379723e-51,3.394143934379723e-51,2.2208340289527104e-72,1.0979770543998774e-99,2.0348640801076116e-132,3.355984757243901e-101,2.1850564119276204e-79,0.054,0.0,0.014746309687929848,0.8799999999999999,3.207551647802336e-91,2.2666724793368136e-148,8.244184378904975e-155,0.06599999999999931,2.8867212484955495e-208
9.374651937823587e-21,0.041572359999999996,1.3890679554124298e-15,7.971388818372622e-16,2.715315818861258e-50,2.715315818861258e-50,7.10667148648341e-71,1.4054112967627356e-97,1.041850990552422e-129,4.295662425307448e-99,6.991479685420532e-78,0.054,0.0,0.014746309687928755,0.8799999999999997,2.0526239792418234e-89,5.802684247084855e-146,8.442049521055342e-152,0.06599999999999862,2.9560042487664653e-205
1.874930486902114e-20,0.041572359999999996,2.778136058013362e-15,1.5942778481420927e-15,2.1722529236303867e-49,2.1722529236303867e-49,2.2741352906863912e-69,1.798926886818489e-95,5.334278371425489e-127,5.498448945573696e-97,2.2371613660617554e-76,0.054,0.0,0.014746309687926569,0.8799999999999992,1.3136124425820501e-87,1.485487512850169e-143,8.644660818644547e-149,0.06599999999999723,3.026949216171179e-202
3.7498610731416256e-20,0.041572359999999996,5.5562722632078755e-15,3.1885557807508077e-15,1.7378024463182413e-48,1.7378024463182413e-48,7.277233594202815e-68,2.3026266883791396e-93,2.7311506654444475e-124,7.038014810109948e-95,7.158736958091539e-75,0.054,0.0,0.014746309687922196,0.8799999999999985,8.406905539217978e-86,3.8028484752526645e-141,8.852133131352826e-146,0.06599999999999445,3.0995964404552276e-199
