Time (s),Volume (m^3),NH3_X(8),O_X(9),NH2_X(10),OH_X(11),NH_X(12),N_X(13),NO_X(14),NHO_X(15),N2O_X(16),N2_X(17),H2O_X(18),He,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),HX(20),NOX2(52),N2X2(77)
5.197740501710762e-25,0.08314471999999999,2.178351341059804e-19,5.814831199156736e-20,4.415119565480035e-21,1.401290973335382e-50,1.3746715012265038e-38,1.4548390917786958e-56,4.040945193414075e-90,5.785590362893065e-72,1.0838312815481072e-165,8.84681297714129e-158,1.5462978419793691e-80,0.054,0.0,0.0,0.05898523875172376,0.88,4.477092688681872e-80,4.947825286778784e-103,5.197191849566102e-106,0.066,1.4728234719097227e-163,4.415119565480035e-21,2.807539446993646e-89,1.2876847487711802e-112
1.0399996850946903e-24,0.08314471999999999,4.358595254961265e-19,1.1634714380241495e-19,8.834075029800628e-21,1.1221692756550766e-49,5.502268502234764e-38,1.1647558778746077e-55,1.2946576383182327e-88,9.267717400071306e-71,5.563771200394191e-163,2.8323418448635724e-156,4.955559988835334e-79,0.054,0.0,0.0,0.05898523875172376,0.88,1.43481422591534e-78,7.920205303660208e-102,3.3302675989779266e-104,0.066,7.560635115544851e-161,8.834075029800628e-21,8.995217960727578e-88,2.0612545964692692e-111
2.0804509549419186e-24,0.08314471999999999,8.719083082763373e-19,2.3274480742411023e-19,1.767198595844182e-20,8.981902414888301e-49,2.2016241045601607e-37,9.321586953907376e-55,4.1453944728649036e-87,1.4836971745084903e-69,2.8523831477420716e-160,9.065672661187899e-155,1.5869653131276752e-77,0.054,0.0,0.0,0.05898523875172376,0.88,4.594839762472527e-77,1.2675276361688334e-100,2.1326729484181444e-102,0.066,3.876117038531196e-158,1.767198595844182e-20,2.880245730039803e-86,3.2987745716513846e-110
4.161353494636375e-24,0.08314471999999999,1.7440058738364326e-18,4.655401346675006e-19,3.534780781572421e-20,7.187341660126687e-48,8.807930029795474e-37,7.45868583812583e-54,1.3269247760547007e-85,2.3746056176717226e-68,1.4613764195272808e-157,2.9013638849230783e-153,5.080187599916516e-76,0.054,0.0,0.0,0.05898523875172376,0.88,1.470898437186714e-75,2.028280047942796e-99,1.3653273773514435e-100,0.066,1.985871402700499e-155,3.534780781572421e-20,9.219628953282147e-85,5.278653147881833e-109
8.323158574025288e-24,0.08314471999999999,3.48820100495532e-18,9.311307891542815e-19,7.069945153028905e-20,5.750601308257875e-47,3.5234587546688415e-36,5.967515241055206e-53,4.246797066927658e-84,3.799921189498651e-67,7.484696119349503e-155,9.284922450696804e-152,1.625963872545204e-74,0.054,0.0,0.0,0.05898523875172376,0.88,4.707754728040444e-74,3.2454367407873603e-98,8.739428866153274e-99,0.066,1.0170989636442678e-152,7.069945153028906e-20,2.950736167420604e-83,8.446336293283174e-108
1.664676873280311e-23,0.08314471999999999,6.976591267187876e-18,1.862312098127843e-18,1.4140273895941892e-19,4.600772256438043e-46,1.4094408524755985e-35,4.77423883322113e-52,1.3590771157634694e-82,6.080315700419124e-66,3.832791282114176e-152,2.9712645988342957e-150,5.203570588981554e-73,0.054,0.0,0.0,0.058985238751723755,0.88,1.5066222846542142e-72,5.192849716589431e-97,5.593661281485706e-97,0.066,5.208398855173953e-150,1.4140273895941894e-19,9.443083646523629e-82,1.3514531682848966e-106
3.329398905035876e-23,0.08314471999999999,1.3953371791632123e-17,3.724674716074965e-18,2.828093138176795e-19,3.6807342926288555e-45,5.637878113288152e-35,3.8194817252295317e-51,4.349210064705673e-81,9.728858573124558e-65,1.9625494600163767e-149,9.508190621762741e-149,1.6652203841163905e-71,0.054,0.0,0.0,0.05898523875172375,0.88,4.821416557601907e-71,8.308680291819775e-96,3.580079804747609e-95,0.06599999999999999,2.6669183917079385e-147,2.8280931381767965e-19,3.021903238021559e-80,2.1623567529861e-105
6.658842968547005e-23,0.08314471999999999,2.790693284043716e-17,7.44939995196921e-18,5.656224635342039e-19,2.9446340297906064e-44,2.2551741862987386e-34,3.0556216442583444e-50,1.3917733484525178e-79,1.556645648540758e-63,1.0048661927680638e-146,3.042644562796471e-147,5.3288297054833107e-70,0.054,0.0,0.0,0.05898523875172373,0.88,1.542889338861224e-69,1.3293985063814455e-94,2.2912947832496664e-93,0.06599999999999998,1.3655180748735345e-144,5.656224635342044e-19,9.670276720134451e-79,3.4597967746182675e-104
1.3317731095569266e-22,0.08314471999999999,5.581405493771338e-17,1.4898850423757685e-17,1.1312487629672656e-18,2.355725862225933e-43,9.020742628183127e-34,2.4445118213405755e-49,4.453716520486779e-78,2.4906556595794297e-62,5.145017735428856e-144,9.73650375238293e-146,1.7052454222042626e-68,0.054,0.0,0.0,0.05898523875172369,0.88,4.937303549766044e-68,2.127045338180606e-93,1.4664426482570832e-91,0.06599999999999995,6.991595563601911e-142,1.1312487629672675e-18,3.094518368376506e-77,5.535697608401779e-103
2.6635507349613783e-22,0.08314471999999999,1.1162829913093047e-16,2.97977513673346e-17,2.2625013618334427e-18,1.8845881451285514e-42,3.608306228544927e-33,1.9556152597968725e-48,1.4251959758373202e-76,3.9850671536230775e-61,2.6342735622515193e-141,3.1156899925454417e-144,5.456817217419047e-67,0.054,0.0,0.0,0.058985238751723616,0.88,1.579946362423187e-66,3.403278724163031e-92,9.385277709873338e-90,0.06599999999999989,3.579733561914608e-139,2.2625013618334497e-18,9.902506489285914e-76,8.857140766701376e-102
5.327105985770282e-22,0.08314471999999999,2.2325678751202327e-16,5.959555325448828e-17,4.525006559566005e-18,1.507673498186824e-41,1.4433243273972435e-32,1.5644945294615109e-47,4.560637827957134e-75,6.376121926621141e-60,1.3487524442930455e-138,9.970236171339756e-143,1.7461866081028927e-65,0.054,0.0,0.0,0.05898523875172347,0.88,5.055843122013715e-65,5.44525090735313e-91,6.006592061020629e-88,0.06599999999999978,1.8328329820613814e-136,4.525006559566034e-18,3.168809711239022e-74,1.417146531108418e-100
1.0654216487388088e-21,0.08314471999999999,4.465137642528428e-16,1.1919115702879505e-16,9.050016955031975e-18,1.2061399912868686e-40,5.773300985732734e-32,1.251596553068188e-46,1.4594058193277066e-73,1.0201806674149231e-58,6.90560440654468e-136,3.190489128210445e-141,5.5878053029061615e-64,0.054,0.0,0.0,0.05898523875172318,0.88,1.6178721608904032e-63,8.712405417864547e-90,3.844223507613384e-86,0.06599999999999956,9.384129134498233e-134,9.05001695503209e-18,1.0140203297649709e-72,2.2674441876440894e-99
2.1308437490623705e-21,0.08314471999999999,8.930277176490184e-16,2.3838236457740624e-16,1.8100037745967283e-17,9.649124699689718e-40,2.3093211328685862e-31,1.0012776156120558e-45,4.670101374682527e-72,1.632289997390888e-57,3.535647594807109e-133,1.0209644766853623e-139,1.7880990016103822e-62,0.054,0.0,0.0,0.058985238751722596,0.8799999999999999,5.177194693041586e-62,1.3939851864329183e-88,2.4603045183445674e-84,0.0659999999999991,4.804680540471075e-131,1.8100037745967746e-17,3.244867014686407e-71,3.627939390116429e-98
4.261687949709494e-21,0.08314471999999999,1.7860556240995154e-15,4.767647796746191e-16,3.620007932785137e-17,7.719301665018702e-39,9.237286035397822e-31,8.010222439250924e-45,1.4944328866378706e-70,2.611664746493623e-56,1.8102257120690703e-130,3.267136106619451e-138,5.7219188898460555e-61,0.054,0.0,0.0,0.05898523875172143,0.8799999999999998,1.6567029057950577e-60,2.2303765612695604e-87,1.5745953698203123e-82,0.06599999999999819,2.4599982976486827e-128,3.6200079327853204e-17,1.0383577607491373e-69,5.804792854781517e-97
8.523376351003741e-21,0.08314471999999999,3.572111435633094e-15,9.53529609869007e-16,7.240016249167342e-17,6.17544209013553e-38,3.6949147363616766e-30,6.408178591901222e-44,4.782185992254169e-69,4.178664217472793e-55,9.26808200197779e-128,1.0455153825600382e-136,1.8310143765117759e-59,0.054,0.0,0.0,0.05898523875171909,0.8799999999999996,5.301450261847865e-59,3.568602731827979e-86,1.0077411980783448e-80,0.06599999999999637,1.2595198264610443e-125,7.240016249168081e-17,3.322745356327483e-68,9.287954443926578e-96
1.7046753153592234e-20,0.08314471999999999,7.144223053230584e-15,1.9070592702576313e-15,1.4480032881953313e-16,4.9403539689786036e-37,1.4779659761194472e-29,5.126543185334991e-43,1.5302996640703998e-67,6.685863318577399e-54,1.173155931996341e-124,3.0718687503581236e-136,5.859246522043012e-58,0.054,0.0,0.0,0.05898523875171442,0.8799999999999991,1.6964642359175668e-57,3.5686027318559326e-86,6.449544291779632e-79,0.06599999999999272,1.5943988644661993e-122,1.4480032881956269e-16,1.0632786079342094e-66,9.289059856704013e-96
