Time (s),Volume (m^3),NH2_X(8),NH_X(9),H2O_X(10),N2O_X(11),H_X(12),He,NOX,OX,NX,OHX,NH3X,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7)
2.488464744882574e-06,0.05040494462592178,5.118577572263683e-06,1.1727703767200788e-05,1.2793178365820777e-06,3.778807415334503e-40,8.624749298068732e-09,0.938,1.3289338876929318e-21,0.004238283060356721,4.84191606747468e-09,1.3265544074769469e-09,3.990372783930583e-06,0.0,0.0,0.025567801016563776,0.007873713166656648,0.05001300996193893,2.606817470438208e-30,2.1077606138150655e-28,0.0019791585039605412,1.5622468067823423e-33
2.490924526719501e-06,0.05040494462592178,5.118571844913304e-06,1.1744553912991493e-05,1.2791577398710066e-06,3.778366788169868e-40,8.619131446782902e-09,0.938,1.334886213326467e-21,0.004241475511467947,4.8544912921466954e-09,1.3268594333692862e-09,3.989838660244507e-06,0.0,0.0,0.025564592407992106,0.007872108506547843,0.050013026990837,2.62334328729846e-30,2.1174849288026637e-28,0.0019791421810905624,1.562260683816358e-33
2.493384308556428e-06,0.05040494462592178,5.118565075334897e-06,1.176140697293553e-05,1.278997716109517e-06,3.7779266065225835e-40,8.613522807221362e-09,0.938,1.3408584815678185e-21,0.004244666501033222,4.867084540627829e-09,1.3271641200988842e-09,3.989304767989752e-06,0.0,0.0,0.025561385258763187,0.00787050457600436,0.05001304402207778,2.6399550059536857e-30,2.1272433252250917e-28,0.0019791258560992032,1.562274659304947e-33
2.4958440903933553e-06,0.05040494462592178,5.118557267412718e-06,1.1778262939546773e-05,1.2788377652428202e-06,3.777486871561191e-40,8.607923355056657e-09,0.938,1.3468507357801078e-21,0.00424785603015044,4.8796958157010555e-09,1.3274684682259439e-09,3.9887711070012885e-06,0.0,0.0,0.025558179567782967,0.00786890137448002,0.050013061055655755,2.6566529726070873e-30,2.1370358835590113e-28,0.001979109528990228,1.562288733832611e-33
2.4983038722302824e-06,0.05040494462592178,5.118548425014013e-06,1.1795121805359635e-05,1.2786778872161834e-06,3.777047584460509e-40,8.602333066048663e-09,0.938,1.3528630193653885e-21,0.004251044099916329,4.89232512014122e-09,1.3277724783048597e-09,3.988237677114252e-06,0.0,0.0,0.025554975333958552,0.007867298901429214,0.05001307809156548,2.673437534439216e-30,2.1468626843737195e-28,0.001979093199767396,1.5623029079866377e-33
2.5007636540672094e-06,0.05040494462592178,5.118538551989117e-06,1.181198356292897e-05,1.2785180819749383e-06,3.776608746401691e-40,8.596751916056996e-09,0.938,1.358895375764616e-21,0.004254230711426471,4.904972456715046e-09,1.3280761508883225e-09,3.987704478163933e-06,0.0,0.0,0.025551772556198202,0.007865697156306908,0.05001309512980153,2.6903090396094813e-30,2.1567238083311297e-28,0.0019790768684344656,1.5623171823571072e-33
2.5032234359041365e-06,0.05040494462592178,5.118527652171549e-06,1.182884820483e-05,1.278358349464468e-06,3.776170358572148e-40,8.591179881022463e-09,0.938,1.3649478484576158e-21,0.004257415865775292,4.9176378281811726e-09,1.3283794865341167e-09,3.987171509985791e-06,0.0,0.0,0.02554857123341131,0.007864096138568628,0.05001311217035845,2.7072678372576647e-30,2.1666193361857406e-28,0.0019790605349951887,1.5623315575369075e-33
2.5056832177410636e-06,0.05040494462592178,5.118515729378091e-06,1.1845715723658241e-05,1.2781986896302123e-06,3.775732422165642e-40,8.585616936970019e-09,0.938,1.371020480963053e-21,0.004260599564056066,4.930321237290166e-09,1.3286824857933899e-09,3.986638772415444e-06,0.0,0.0,0.025545371364508438,0.007862495847670483,0.05001312921323079,2.724314277505433e-30,2.176549348784614e-28,0.001979044199453315,1.5623460341217385e-33
2.5081429995779907e-06,0.05040494462592178,5.118502787408898e-06,1.186258611202943e-05,1.2780391024176764e-06,3.775294938382338e-40,8.580063060024091e-09,0.938,1.3771133168383977e-21,0.004263781807360924,4.943022686784559e-09,1.3289851492142058e-09,3.986106265288678e-06,0.0,0.0,0.025542172948401286,0.007860896283069137,0.05001314625841317,2.7414487114579956e-30,2.1865139270673445e-28,0.00197902786181259,1.5623606127101292e-33
2.510602781414918e-06,0.05040494462592178,5.11848883004756e-06,1.187945936257945e-05,1.2778795877724153e-06,3.774857908428703e-40,8.57451822638716e-09,0.938,1.3832263996799013e-21,0.004266962596780842,4.955742179398854e-09,1.32928747735e-09,3.985573988441432e-06,0.0,0.0,0.025538975984002687,0.007859297444221834,0.05001316330590017,2.75867149120532e-30,2.196513152066042e-28,0.0019790115220767565,1.562375293903439e-33
