Time (s),Volume (m^3),NH3_X(8),O_X(9),NH2_X(10),OH_X(11),NH_X(12),N_X(13),NO_X(14),NHO_X(15),N2O_X(16),N2_X(17),H2O_X(18),He,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),HX(20),NOX2(52)
5.088302129361122e-25,0.08314471999999999,2.1324861761688744e-19,5.692399988573183e-20,4.32215926882495e-21,1.3146290228256695e-50,1.317393522008707e-38,1.36486549188369e-56,3.6330756910329092e-90,5.313502260365237e-72,8.949244136729004e-166,9.686424182380236e-186,1.3902235323897372e-80,0.054,0.0,0.0,0.05898523875172376,0.88,4.0252009951190266e-80,4.544096487336666e-103,4.57423562164851e-106,0.066,1.2161170326325002e-163,4.32215926882495e-21,2.5241627461596523e-89
1.0181025025124816e-24,0.08314471999999999,4.266825077077861e-19,1.1389745589647298e-19,8.648073671680157e-21,1.0527694293127695e-49,5.273007314641439e-38,1.0927222901579415e-55,1.1639824270939908e-88,8.51149740388462e-71,4.5940311602138865e-163,9.94494006138139e-183,4.45537458922718e-79,0.054,0.0,0.0,0.05898523875172376,0.88,1.2899924240044603e-78,7.2739385514515e-102,2.9310883880759655e-104,0.066,6.242850767177023e-161,8.648073671680157e-21,8.087292983315919e-88
2.0366470816652202e-24,0.08314471999999999,8.535502878895055e-19,2.2784436791795525e-19,1.729990247739058e-20,8.426422363012058e-49,2.1098897668699862e-37,8.7450993273942e-55,3.726982467778077e-87,1.3626316064495367e-69,2.3552257258118435e-160,1.0196974214676646e-179,1.4267862655207641e-77,0.054,0.0,0.0,0.05898523875172376,0.88,4.131063364194556e-77,1.1641009019674526e-100,1.877042228255251e-102,0.066,3.20052745011877e-158,1.729990247739058e-20,2.5895304799142013e-86
4.073736239970698e-24,0.08314471999999999,1.7072858482526317e-18,4.557381919609198e-19,3.460356008881142e-20,6.742845078689649e-48,8.440932945219324e-37,6.997408148286651e-54,1.1929927076391943e-85,2.180844395396103e-68,1.2066651502103485e-157,1.044854526086452e-176,4.567423014126221e-76,0.054,0.0,0.0,0.05898523875172376,0.88,1.322434504885401e-75,1.862778030141574e-99,1.201673770271355e-100,0.066,1.6397430401487413e-155,3.460356008881142e-20,8.289053235639049e-85
8.147914556581654e-24,0.08314471999999999,3.4147569689776346e-18,9.11525840046849e-19,6.921087531165316e-20,5.394959021637782e-47,3.376647973223234e-36,5.598458049986824e-53,3.8181500738352285e-84,3.489858175771167e-67,6.180147600576169e-155,1.0702815538120777e-173,1.4618485371893304e-74,0.054,0.0,0.0,0.05898523875172376,0.88,4.232581349943939e-74,2.9806181178400985e-98,7.691885924076844e-99,0.066,8.398232355338807e-153,6.921087531165319e-20,2.6529060225752832e-83
1.6296271189803565e-23,0.08314471999999999,6.829699210422641e-18,1.8231011362187068e-18,1.3842550575733686e-19,4.316240417454979e-46,1.3507141502882566e-35,4.478979063934881e-52,1.2218997772012114e-82,5.584178829027453e-66,3.1647531839677442e-152,1.0961477674588497e-170,4.678352441957491e-73,0.054,0.0,0.0,0.058985238751723755,0.88,1.3545525949887119e-72,4.769127604294849e-97,4.92318263974062e-97,0.066,4.300598599361858e-150,1.3842550575733688e-19,8.489953711936548e-82
3.2592984456247383e-23,0.08314471999999999,1.3659583693292658e-17,3.6462517285624234e-18,2.7685476664870505e-19,3.4531016173485095e-45,5.402966525227611e-35,3.5832683030715923e-51,3.910226099329832e-81,8.935010738154174e-65,1.6204860140730948e-149,1.12254710907789e-167,1.4971427248284542e-71,0.054,0.0,0.0,0.05898523875172375,0.88,4.334770815580054e-71,7.630715059663783e-96,3.150957102451134e-95,0.06599999999999999,2.202086633280143e-147,2.768547666487051e-19,2.716889903033463e-80
6.518641098913503e-23,0.08314471999999999,2.7319352658952707e-17,7.292552913249853e-18,5.537132884314445e-19,2.7625250078860116e-44,2.161208595197462e-34,2.8666486637999066e-50,1.2512958423471674e-79,1.4296276876321386e-63,8.297225891959364e-147,1.14953504458687e-164,4.7909686318469185e-70,0.054,0.0,0.0,0.05898523875172373,0.88,1.3871590637031863e-69,1.2209232810308348e-94,2.0166510147350023e-93,0.06599999999999998,1.1275144786637578e-144,5.537132884314449e-19,8.694215238223723e-79
1.3037326405491032e-22,0.08314471999999999,5.463889058995287e-17,1.45851552826247e-17,1.1074303319969358e-18,2.2100374920232755e-43,8.644878351964868e-34,2.293332539858097e-49,4.0041842813370725e-78,2.2874250762348634e-62,4.248264604320553e-144,1.177147447532915e-161,1.5331278683905012e-68,0.054,0.0,0.0,0.05898523875172369,0.88,4.438960848850408e-68,1.953484347033098e-93,1.2906689598678632e-91,0.06599999999999995,5.7729922227824835e-142,1.107430331996938e-18,2.782175684510345e-77
2.607469701864609e-22,0.08314471999999999,1.0927796645067349e-16,2.917036002137436e-17,2.214864419127969e-18,1.7680369878961737e-42,3.457960135653719e-33,1.8346714757363528e-48,1.2813449841227884e-76,3.6598967434837655e-61,2.1751317347876436e-141,1.2054102250650067e-158,4.90603782881333e-67,0.054,0.0,0.0,0.05898523875172362,0.88,1.4204757668618744e-66,3.125580633787359e-92,8.260320738885802e-90,0.06599999999999989,2.9558022659321132e-139,2.2148644191279765e-18,8.903005085257556e-76
5.21494382449562e-22,0.08314471999999999,2.185561181669958e-16,5.834076949887356e-17,4.429732593390239e-18,1.4144323879774346e-41,1.3831858137275566e-32,1.467739358619764e-47,4.1003135738816496e-75,5.855848088747771e-60,1.1136711088838339e-138,1.2343441350713616e-155,1.5699366891358658e-65,0.054,0.0,0.0,0.05898523875172348,0.88,4.545535726205621e-65,5.000933558894941e-91,5.286617882255381e-88,0.06599999999999978,1.5133785199593396e-136,4.429732593390266e-18,2.8489684913265703e-74
1.0429892069757643e-21,0.08314471999999999,4.371124215791647e-16,1.1668158845387137e-16,8.859468941915584e-18,1.1315470293578324e-40,5.532746777768787e-32,1.1741923588881665e-46,1.3121018849451282e-73,9.369367587535697e-59,5.701989830367131e-136,1.263967014922006e-152,5.023804738911023e-64,0.054,0.0,0.0,0.05898523875172319,0.88,1.4545735558438297e-63,8.00149733652451e-90,3.3834394831013645e-86,0.06599999999999956,7.748518054236486e-134,8.859468941915693e-18,9.116710160187617e-73
2.085978856028169e-21,0.08314471999999999,8.742250283216001e-16,2.333632263638647e-16,1.77189416389695e-17,9.052380709338242e-40,2.213099418818994e-31,9.393542371545903e-46,4.1987285065553405e-72,1.4990996676291275e-57,2.9194012007652473e-133,1.2942944300604758e-149,1.6076186894561022e-62,0.054,0.0,0.0,0.058985238751722624,0.8799999999999999,4.654638775563091e-62,1.2802398672831608e-88,2.1654025659138243e-84,0.06599999999999911,3.967246542870827e-131,1.7718941638969946e-17,2.917349012824074e-71
4.1719581541329784e-21,0.08314471999999999,1.748450241478861e-15,4.667265021838423e-16,3.5437887033090247e-17,7.241906354973119e-39,8.852399115815704e-31,7.514835317364753e-45,1.3435935235872339e-70,2.3985601574406926e-56,1.4947125345996805e-130,1.325338992489189e-146,5.1443816806061605e-61,0.054,0.0,0.0,0.05898523875172148,0.8799999999999998,1.4894849512478476e-60,2.048384028983114e-87,1.38585806279778e-82,0.06599999999999823,2.031231761508196e-128,3.5437887033092016e-17,9.335519681889047e-70
8.343916750342597e-21,0.08314471999999999,3.4969006664829413e-15,9.334530538237613e-16,7.087577782138339e-17,5.793525795318565e-38,3.540959954527506e-30,6.011868853865499e-44,4.299499953270124e-69,3.8376968235649066e-55,7.652707036633986e-128,1.3571079315919076e-143,1.6462024361141522e-59,0.054,0.0,0.0,0.058985238751719196,0.8799999999999996,4.766352710145556e-59,3.2774146604888236e-86,8.869493020309288e-81,0.06599999999999644,1.0399912331496134e-125,7.087577782139049e-17,2.987366767043964e-68
1.6687833942761832e-20,0.08314471999999999,6.993801511249339e-15,1.8669061571034543e-15,1.4175155939817627e-16,4.634820914933265e-37,1.4163840595258573e-29,4.809495374157764e-43,1.3758401161538483e-67,6.14031543990337e-54,9.686826162711577e-125,3.433666804721062e-140,5.267848260896867e-58,0.054,0.0,0.0,0.05898523875171462,0.8799999999999991,1.5252330040686385e-57,3.2774146605130214e-86,5.676476079612559e-79,0.06599999999999287,1.3165023602648515e-122,1.417515593982046e-16,9.559574496223059e-67
3.3375668327600305e-20,0.08314471999999999,1.3987603179815084e-14,3.733812363662259e-15,2.835031225525883e-16,3.707856834045761e-36,5.665536522129999e-29,3.8475964974737617e-42,4.402688726493739e-66,9.82450532919466e-53,4.96484371992398e-122,3.521795807800084e-137,1.6857115111648107e-56,0.054,0.0,0.0,0.05898523875170548,0.8799999999999982,4.8807458206489505e-56,3.2774146636077855e-86,3.6329449845574345e-77,0.06599999999998574,6.748339048370251e-120,2.835031225527016e-16,3.059064032045844e-65
6.675133709727726e-20,0.08314471999999999,2.7975206433078354e-14,7.467624776777541e-15,5.670062488647173e-16,2.966285493080718e-35,2.2662147685347996e-28,3.0780774079922693e-41,1.4088605420651332e-64,1.571920969127753e-51,2.5414120074101653e-119,3.6054912615051204e-134,5.3942768997671405e-55,0.054,0.0,0.0,0.05898523875168719,0.8799999999999963,1.5618386886060044e-54,3.2774150597974816e-86,2.325085035992023e-75,0.06599999999997147,3.455163977231309e-117,5.670062488651705e-16,9.789005586699414e-64
