Time (s),Volume (m^3),NH3_X(8),O_X(9),NH2_X(10),OH_X(11),NH_X(12),N_X(13),NO_X(14),NHO_X(15),N2O_X(16),N2_X(17),H2O_X(18),He,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7)
2.068835664136723e-09,0.08314471999999999,2.32390103094975e-06,0.0002305074070343403,2.656777648028767e-12,2.007319150206559e-10,1.0100797343678238e-10,1.7510829381187264e-12,1.89717804452976e-17,4.659061042641867e-15,-3.9691832563423084e-26,5.425399905880755e-25,8.702299640855319e-14,0.054,0.0,0.0,0.05875240713741628,0.8798847461938138,4.514696534302876e-12,8.576031500248567e-26,1.902900555295205e-18,0.06599767599354849,4.2650327293127686e-21
2.0816098343925334e-09,0.08314471999999999,2.3238449588655554e-06,0.00023192499992161474,2.6578207840223462e-12,2.0326276154098195e-10,1.0229451821555506e-10,1.7958889672004063e-12,1.963523551727789e-17,4.747880834013161e-15,5.494733897414778e-27,-5.9670631079508e-26,8.816638229774102e-14,0.054,0.0,0.0,0.058750989596736615,0.8798840373960604,4.602495205281834e-12,9.079347458332473e-26,1.977343990940884e-18,0.0659976760482881,4.3610766304087815e-21
2.094384004648344e-09,0.08314471999999999,2.3237888895287446e-06,0.0002333425232458883,2.6588638108960536e-12,2.058095154100654e-10,1.0358890311720795e-10,1.8415419932705608e-12,2.0317627369984936e-17,4.8378080566147004e-15,5.0898091506963796e-26,-2.9029135709024193e-25,8.931800278229011e-14,0.054,0.0,0.0,0.0587495721255926,0.8798833286330798,4.691443670538157e-12,9.608663269007817e-26,2.054195487173602e-18,0.06599767610301625,4.428419365695408e-21
2.1071581749041544e-09,0.08314471999999999,2.323732822939134e-06,0.00023475997701227864,2.6599067361799194e-12,2.0837218242378115e-10,1.0489112361876393e-10,1.8880524741160945e-12,2.1019377928244284e-17,4.9288492736336595e-15,-2.1537856523368593e-27,9.882561943818999e-27,9.047787970972906e-14,0.054,0.0,0.0,0.05874815472397911,0.8798826199048697,4.781550185044025e-12,1.0165142178336601e-25,2.133516892212704e-18,0.06599767615773298,4.432095848398624e-21
2.119932345159965e-09,0.08314471999999999,2.3236767590965227e-06,0.00023617736122579956,2.6609495672313176e-12,2.1095076839924258e-10,1.0620117513850134e-10,1.9354309284992637e-12,2.1740915945770222e-17,5.0210110402713024e-15,-1.8072274650456384e-26,-4.67679391742999e-25,9.164603507020526e-14,0.054,0.0,0.0,0.0587467373918911,0.8798819112114272,4.872823025645893e-12,1.074999157171541e-25,2.215371236431329e-18,0.06599767621243825,4.259638408636367e-21
2.1327065154157754e-09,0.08314471999999999,2.3236206980006874e-06,0.00023759467589182554,2.661992311240305e-12,2.1354527917445014e-10,1.0751905303604023e-10,1.9836879360764064e-12,2.2482677074759684e-17,5.114299903666433e-15,1.975467296151776e-26,-4.477433384402675e-26,9.282249099651763e-14,0.054,0.0,0.0,0.05874532012932321,0.8798812025527498,4.965270491207252e-12,1.1364464323379066e-25,2.2998227471554145e-18,0.06599767626713209,4.066368353658455e-21
2.145480685671586e-09,0.08314471999999999,2.3235646396514092e-06,0.00023901192101594268,2.6630349752345605e-12,2.1615572060793483e-10,1.0884475261242921e-10,2.032834137314682e-12,2.324510393639606e-17,5.2087224028128046e-15,-5.894995664068252e-26,9.683240470816497e-25,9.4007269764149e-14,0.054,0.0,0.0,0.05874390293626984,0.8798804939288352,5.058900902751463e-12,1.2009860233495593e-25,2.3869368636976253e-18,0.06599767632181444,4.161522480062744e-21
2.1582548559273963e-09,0.08314471999999999,2.3235085840484974e-06,0.00024042909660277974,2.6640775660845164e-12,2.1878209857839896e-10,1.101782691102306e-10,2.0828802334092254e-12,2.402864619077508e-17,5.304285068466887e-15,-1.224972839414963e-25,-4.1262522518409185e-25,9.52003937912998e-14,0.054,0.0,0.0,0.05874248581272633,0.8798797853396806,5.153722603604575e-12,1.2687527443629797e-25,2.4767802523289922e-18,0.06599767637648535,4.14533987934703e-21
2.171029026183207e-09,0.08314471999999999,2.3234525311917434e-06,0.0002418462026574392,2.6651200905078936e-12,2.2142441898436026e-10,1.1151959771361056e-10,2.133836986198003e-12,2.483376060807805e-17,5.400994423067736e-15,1.3200007125529554e-25,-8.67485529818566e-25,9.640188563891985e-14,0.054,0.0,0.0,0.058741068758687585,0.8798790767852832,5.249743959538229e-12,1.339886395937142e-25,2.5694208215327296e-18,0.06599767643114479,4.033460128037934e-21
2.1825257794134364e-09,0.08314471999999999,2.323402085968469e-06,0.0002431215386611285,2.6660583111271184e-12,2.2381614302287727e-10,1.1273346877964277e-10,2.1804856186424453e-12,2.557719108918874e-17,5.489018645301679e-15,4.9694886160728634e-26,2.5995071562842647e-25,9.749040154996087e-14,0.054,0.0,0.0,0.05873979346947476,0.8798784391160411,5.3371958174829796e-12,1.4069050878169648e-25,2.655246062525641e-18,0.06599767648032845,4.044829982367002e-21
