Time (s),Volume (m^3),He,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),OX(10)
1.0825623202780676e-19,0.05595639656,0.054,0.0,0.0,0.039697065679885644,0.8799999999999878,0.0,0.0,0.0,0.066,0.0,2.4451484596634136e-14
2.1651833765075365e-19,0.05595639656,0.054,0.0,0.0,0.03969706567986119,0.8799999999999756,0.0,0.0,0.0,0.066,0.0,4.890429584314338e-14
4.3304254889664744e-19,0.05595639656,0.054,0.0,0.0,0.039697065679812286,0.8799999999999512,0.0,0.0,0.0,0.066,0.0,9.780991833604e-14
8.66090971388435e-19,0.05595639656,0.054,0.0,0.0,0.039697065679714476,0.8799999999999022,0.0,0.0,0.0,0.066,0.0,1.956211633213458e-13
1.7321878163720103e-18,0.05595639656,0.054,0.0,0.0,0.039697065679518855,0.8799999999998044,0.0,0.0,0.0,0.066,0.0,3.912436532900077e-13
3.4643815063391607e-18,0.05595639656,0.054,0.0,0.0,0.03969706567912761,0.8799999999996088,0.0,0.0,0.0,0.066,0.0,7.824886332195325e-13
6.928768886273462e-18,0.05595639656,0.054,0.0,0.0,0.03969706567834512,0.8799999999992175,0.0,0.0,0.0,0.066,0.0,1.564978593047386e-12
1.3857543646142063e-17,0.05595639656,0.054,0.0,0.0,0.03969706567678014,0.879999999998435,0.0,0.0,0.0,0.066,0.0,3.1299585125783084e-12
2.7715093165879265e-17,0.05595639656,0.054,0.0,0.0,0.03969706567365018,0.8799999999968701,0.0,0.0,0.0,0.066,0.0,6.259918351141018e-12
5.543019220535367e-17,0.05595639656,0.054,0.0,0.0,0.03969706566739026,0.8799999999937401,0.0,0.0,0.0,0.066,0.0,1.2519838026269887e-11
1.1086039028430248e-16,0.05595639656,0.054,0.0,0.0,0.03969706565487042,0.8799999999874802,0.0,0.0,0.0,0.066,0.0,2.5039677368541445e-11
2.217207864422001e-16,0.05595639656,0.054,0.0,0.0,0.03969706562983074,0.8799999999749604,0.0,0.0,0.0,0.066,0.0,5.00793560211398e-11
4.434415787579954e-16,0.05595639656,0.054,0.0,0.0,0.03969706557975138,0.8799999999499207,0.0,0.0,0.0,0.066,0.0,1.0015871319855753e-10
8.868831633895859e-16,0.05595639656,0.054,0.0,0.0,0.03969706547959267,0.8799999998998413,0.0,0.0,0.0,0.066,0.0,2.0031742704227703e-10
1.7737663326527668e-15,0.05595639656,0.054,0.0,0.0,0.03969706527927524,0.8799999997996827,0.0,0.0,0.0,0.066,0.0,4.006348526852522e-10
2.660649501915948e-15,0.05595639656,0.054,0.0,0.0,0.03969706507895782,0.879999999699524,0.0,0.0,0.0,0.066,0.0,6.009522762837636e-10
3.547532671179129e-15,0.05595639656,0.054,0.0,0.0,0.0396970648786404,0.8799999995993654,0.0,0.0,0.0,0.066,0.0,8.012696978378113e-10
5.321299009705491e-15,0.05595639656,0.054,0.0,0.0,0.03969706447800556,0.8799999993990479,0.0,0.0,0.0,0.066,0.0,1.2019045361476753e-09
7.095065348231853e-15,0.05595639656,0.054,0.0,0.0,0.03969706407737073,0.8799999991987305,0.0,0.0,0.0,0.066,0.0,1.602539366939317e-09
8.868831686758215e-15,0.05595639656,0.054,0.0,0.0,0.03969706367673591,0.8799999989984131,0.0,0.0,0.0,0.066,0.0,2.0031741896757213e-09
1.241636436381094e-14,0.05595639656,0.054,0.0,0.0,0.03969706287546628,0.8799999985977782,0.0,0.0,0.0,0.066,0.0,2.8044438104768337e-09
1.5963897040863665e-14,0.05595639656,0.054,0.0,0.0,0.0396970620741967,0.8799999981971434,0.0,0.0,0.0,0.066,0.0,3.6057133985613594e-09
2.3058962394969114e-14,0.05595639656,0.054,0.0,0.0,0.03969706047165762,0.8799999973958739,0.0,0.0,0.0,0.066,0.0,5.20825247659445e-09
3.7249093103180013e-14,0.05595639656,0.054,0.0,0.0,0.03969705726657986,0.8799999957933351,0.0,0.0,0.0,0.066,0.0,8.41333024011993e-09
6.56293545196018e-14,0.05595639656,0.054,0.0,0.0,0.0396970508564259,0.8799999925882581,0.0,0.0,0.0,0.066,0.0,1.4823484197021556e-08
1.223898773524454e-13,0.05595639656,0.054,0.0,0.0,0.03969703803612427,0.8799999861781073,0.0,0.0,0.0,0.066,0.0,2.7643785830237376e-08
2.359109230181326e-13,0.05595639656,0.054,0.0,0.0,0.03969701239554613,0.8799999733578182,0.0,0.0,0.0,0.066,0.0,5.3284363974366566e-08
4.629530143495069e-13,0.05595639656,0.054,0.0,0.0,0.03969696111449032,0.8799999477172904,0.0,0.0,0.0,0.066,0.0,1.0456541977369891e-07
9.170371970122554e-13,0.05595639656,0.054,0.0,0.0,0.039696858552780684,0.8799998964364354,0.0,0.0,0.0,0.066,0.0,2.0712712941888015e-07
1e-12,0.05595639656,0.054,0.0,0.0,0.03969683981444769,0.879999887067269,0.0,0.0,0.0,0.066,0.0,2.2586546240462772e-07
1.3711213796750042e-12,0.05595639656,0.054,0.0,0.0,0.03969675599160696,0.8799998451558486,0.0,0.0,0.0,0.066,0.0,3.096883031289677e-07
1.825205562337753e-12,0.05595639656,0.054,0.0,0.0,0.039696653430969175,0.8799997938755297,0.0,0.0,0.0,0.066,0.0,4.122489409079905e-07
2.2792897450005017e-12,0.05595639656,0.054,0.0,0.0,0.03969655087086733,0.8799997425954789,0.0,0.0,0.0,0.066,0.0,5.148090427601127e-07
3.187458110325999e-12,0.05595639656,0.054,0.0,0.0,0.0396963457522714,0.8799996400361809,0.0,0.0,0.0,0.066,0.0,7.199276386990922e-07
4.095626475651496e-12,0.05595639656,0.054,0.0,0.0,0.03969614063581911,0.8799995374779548,0.0,0.0,0.0,0.066,0.0,9.250440909792996e-07
5.003794840976994e-12,0.05595639656,0.054,0.0,0.0,0.039695935521510455,0.8799994349208005,0.0,0.0,0.0,0.066,0.0,1.1301583996358894e-06
5.9119632063024915e-12,0.05595639656,0.054,0.0,0.0,0.03969573040934539,0.879999332364718,0.0,0.0,0.0,0.066,0.0,1.3352705647037193e-06
7.728299936953486e-12,0.05595639656,0.054,0.0,0.0,0.039695320191445886,0.8799991272557682,0.0,0.0,0.0,0.066,0.0,1.7454884642068392e-06
9.36300299453938e-12,0.05595639656,0.054,0.0,0.0,0.039694951002667074,0.8799989426613789,0.0,0.0,0.0,0.066,0.0,2.114677243024386e-06
1e-11,0.05595639656,0.054,0.0,0.0,0.03969480714224443,0.8799988707311674,0.0,0.0,0.0,0.066,0.0,2.25853766566487e-06
1.0997706052125276e-11,0.05595639656,0.054,0.0,0.0,0.03969458182083295,0.8799987580704617,0.0,0.0,0.0,0.066,0.0,2.4838590771393815e-06
1.4267112167297065e-11,0.05595639656,0.054,0.0,0.0,0.039693843477998036,0.8799983888990441,0.0,0.0,0.0,0.066,0.0,3.222201912050774e-06
2.0805924397640645e-11,0.05595639656,0.054,0.0,0.0,0.03969236687565597,0.8799976505978733,0.0,0.0,0.0,0.066,0.0,4.6988042541246555e-06
2.7344736627984225e-11,0.05595639656,0.054,0.0,0.0,0.039690890384407033,0.8799969123522486,0.0,0.0,0.0,0.066,0.0,6.17529550305717e-06
4.0422361088671384e-11,0.05595639656,0.054,0.0,0.0,0.03968793773513808,0.8799954360276142,0.0,0.0,0.0,0.066,0.0,9.127944772008074e-06
5.349998554935854e-11,0.05595639656,0.054,0.0,0.0,0.03968498553009018,0.8799939599250903,0.0,0.0,0.0,0.066,0.0,1.208014981990755e-05
